"boundary","subject","Context","Speechness","stdize_b"
5.33099187569948,"X008","Tone 2","Speech",5.33099187569948
6.09454975461837,"X021","Tone 2","Speech",6.09454975461837
1.36530128672688,"X025","Tone 2","Speech",1.36530128672688
4.70171882975932,"X022","Tone 2","Speech",4.70171882975932
3.50000000000168,"X024","Tone 2","Speech",3.50000000000168
5.36178643748766,"X009","Tone 2","Speech",5.36178643748766
10.886066341595,"X004","Tone 4","Speech",10.886066341595
9.53074289255431,"X017","Tone 4","Speech",9.53074289255431
11.010566847045,"X033","Tone 4","Speech",11.010566847045
11.5642277104213,"X030","Tone 4","Speech",11.5642277104213
9.21370861737076,"X031","Tone 4","Speech",9.21370861737076
10.9621314090447,"X001","Tone 4","Speech",10.9621314090447
9.60185585084946,"X032","Tone 4","Speech",9.60185585084946
9.46313543553836,"X019","Tone 4","Speech",9.46313543553836
9.63821356251234,"X018","Tone 4","Speech",9.63821356251234
9.7876548578126,"X035","Tone 4","Speech",9.7876548578126
10.7946305031478,"X034","Tone 4","Speech",10.7946305031478
11.1120830238777,"X013","Tone 4","Speech",11.1120830238777
10.4576034841041,"X029","Tone 4","Speech",10.4576034841041
8.95530941688333,"X007","Tone 4","Speech",8.95530941688333
10.0802567783175,"X011","Tone 4","Speech",10.0802567783175
9.03232023525773,"X014","Tone 4","Speech",9.03232023525773
9.93736052411546,"X010","Tone 4","Speech",9.93736052411546
10.8531351726343,"X006","Tone 4","Speech",10.8531351726343
9.63821356251234,"X016","Tone 4","Speech",9.63821356251234
9.23953467509985,"X012","Tone 4","Speech",9.23953467509985
8.5673412854737,"X015","Tone 4","Speech",8.5673412854737
9.63162704387515,"X005","Tone 4","Speech",9.63162704387515
10.7694717701282,"X014","Tone 4","Speech",10.7694717701282
10.8979462955639,"X027","Tone 4","Speech",10.8979462955639
9.36837298916205,"X003","Tone 4","Speech",9.36837298916205
9.75803597408089,"X020","Tone 4","Speech",9.75803597408089
7.81187426383402,"X026","Tone 4","Speech",7.81187426383402
10.4100471219222,"X008","Tone 4","Speech",10.4100471219222
13.1309871572927,"X021","Tone 4","Speech",13.1309871572927
11.5337278016435,"X025","Tone 4","Speech",11.5337278016435
11.8533431091576,"X022","Tone 4","Speech",11.8533431091576
8.36178636406169,"X024","Tone 4","Speech",8.36178636406169
