"","step","Context tone","Speechness","subject","T4_count"
"687","step01","No context","Nonspeech","X014",7
"688","step02","No context","Nonspeech","X014",7
"689","step03","No context","Nonspeech","X014",7
"690","step04","No context","Nonspeech","X014",7
"691","step05","No context","Nonspeech","X014",7
"692","step06","No context","Nonspeech","X014",6
"693","step07","No context","Nonspeech","X014",3
"694","step08","No context","Nonspeech","X014",3
"695","step09","No context","Nonspeech","X014",0
"696","step10","No context","Nonspeech","X014",0
"697","step11","No context","Nonspeech","X014",0
"698","step12","No context","Nonspeech","X014",0
"699","step13","No context","Nonspeech","X014",0
"700","step14","No context","Nonspeech","X014",0
"701","step01","No context","Nonspeech","X006",7
"702","step02","No context","Nonspeech","X006",7
"703","step03","No context","Nonspeech","X006",7
"704","step04","No context","Nonspeech","X006",7
"705","step05","No context","Nonspeech","X006",7
"706","step06","No context","Nonspeech","X006",5
"707","step07","No context","Nonspeech","X006",2
"708","step08","No context","Nonspeech","X006",0
"709","step09","No context","Nonspeech","X006",0
"710","step10","No context","Nonspeech","X006",0
"711","step11","No context","Nonspeech","X006",0
"712","step12","No context","Nonspeech","X006",0
"713","step13","No context","Nonspeech","X006",0
"714","step14","No context","Nonspeech","X006",0
"715","step01","No context","Nonspeech","X016",7
"716","step02","No context","Nonspeech","X016",7
"717","step03","No context","Nonspeech","X016",7
"718","step04","No context","Nonspeech","X016",7
"719","step05","No context","Nonspeech","X016",7
"720","step06","No context","Nonspeech","X016",7
"721","step07","No context","Nonspeech","X016",7
"722","step08","No context","Nonspeech","X016",7
"723","step09","No context","Nonspeech","X016",0
"724","step10","No context","Nonspeech","X016",0
"725","step11","No context","Nonspeech","X016",0
"726","step12","No context","Nonspeech","X016",0
