"","step","Context","Subject","T4_count","T4_percent"
"438",3,"Tone2","X2",0,0
"439",2,"Tone2","X2",0,0
"440",1,"Tone2","X2",2,0.285714285714286
"441",11,"Tone4","X2",0,0
"442",10,"Tone4","X2",0,0
"443",9,"Tone4","X2",1,0.142857142857143
"444",8,"Tone4","X2",5,0.714285714285714
"445",7,"Tone4","X2",7,1
"446",6,"Tone4","X2",7,1
"447",5,"Tone4","X2",7,1
"448",4,"Tone4","X2",7,1
"449",3,"Tone4","X2",7,1
"450",2,"Tone4","X2",7,1
"451",1,"Tone4","X2",7,1
"452",11,"Tone1","X5",1,0.142857142857143
"453",10,"Tone1","X5",1,0.142857142857143
"454",9,"Tone1","X5",5,0.714285714285714
"455",8,"Tone1","X5",5,0.714285714285714
"456",7,"Tone1","X5",7,1
"457",6,"Tone1","X5",7,1
"458",5,"Tone1","X5",6,0.857142857142857
"459",4,"Tone1","X5",7,1
"460",3,"Tone1","X5",6,0.857142857142857
"461",2,"Tone1","X5",7,1
"462",1,"Tone1","X5",7,1
"463",11,"Tone2","X5",0,0
"464",10,"Tone2","X5",0,0
"465",9,"Tone2","X5",1,0.142857142857143
"466",8,"Tone2","X5",0,0
"467",7,"Tone2","X5",1,0.142857142857143
"468",6,"Tone2","X5",1,0.142857142857143
"469",5,"Tone2","X5",1,0.142857142857143
"470",4,"Tone2","X5",2,0.285714285714286
"471",3,"Tone2","X5",4,0.571428571428571
"472",2,"Tone2","X5",5,0.714285714285714
"473",1,"Tone2","X5",3,0.428571428571429
"474",11,"Tone4","X5",1,0.142857142857143
"475",10,"Tone4","X5",2,0.285714285714286
"476",9,"Tone4","X5",7,1
"477",8,"Tone4","X5",7,1
"478",7,"Tone4","X5",7,1
"479",6,"Tone4","X5",7,1
"480",5,"Tone4","X5",7,1
"481",4,"Tone4","X5",7,1
"482",3,"Tone4","X5",7,1
"483",2,"Tone4","X5",7,1
"484",1,"Tone4","X5",7,1
"485",11,"Tone1","X4",0,0
"486",10,"Tone1","X4",0,0
"487",9,"Tone1","X4",0,0
"488",8,"Tone1","X4",1,0.142857142857143
"489",7,"Tone1","X4",1,0.142857142857143
"490",6,"Tone1","X4",0,0
"491",5,"Tone1","X4",1,0.142857142857143
"492",4,"Tone1","X4",6,0.857142857142857
"493",3,"Tone1","X4",7,1
"494",2,"Tone1","X4",7,1
"495",1,"Tone1","X4",7,1
"496",11,"Tone2","X4",0,0
"497",10,"Tone2","X4",0,0
"498",9,"Tone2","X4",0,0
"499",8,"Tone2","X4",0,0
"500",7,"Tone2","X4",0,0
"501",6,"Tone2","X4",0,0
"502",5,"Tone2","X4",0,0
"503",4,"Tone2","X4",0,0
"504",3,"Tone2","X4",1,0.142857142857143
"505",2,"Tone2","X4",4,0.571428571428571
"506",1,"Tone2","X4",4,0.571428571428571
"507",11,"Tone4","X4",1,0.142857142857143
"508",10,"Tone4","X4",2,0.285714285714286
"509",9,"Tone4","X4",2,0.285714285714286
"510",8,"Tone4","X4",5,0.714285714285714
"511",7,"Tone4","X4",7,1
"512",6,"Tone4","X4",7,1
"513",5,"Tone4","X4",7,1
"514",4,"Tone4","X4",7,1
"515",3,"Tone4","X4",7,1
"516",2,"Tone4","X4",7,1
"517",1,"Tone4","X4",7,1
"518",11,"Tone1","X6",0,0
"519",10,"Tone1","X6",0,0
"520",9,"Tone1","X6",1,0.142857142857143
